| input_WFE |              r_0.00 |              r_0.04 |              r_0.08 |              r_0.12 |              r_0.16 |               r_0.20 |              r_0.24 |               r_0.28 |              r_0.32 |              r_0.36 |               r_0.40 |
|     4.082 |  0.3072922924526764 |   0.308574816651547 |  0.2949235330888531 | 0.30464638298424407 |  0.2945072229061186 |   0.2842744798362896 |  0.2774506547315747 |   0.2733736374950016 | 0.26269604797630974 | 0.24938456158306452 |  0.23929045696180518 |
|     4.239 |   0.310420135803044 |  0.3061638534357345 | 0.30947178067761943 |  0.3065990703771796 |  0.2956187954459478 |  0.29040707666710686 |  0.2928183469869389 |   0.2694204820678608 | 0.26700455864930883 |  0.2613346550151594 |  0.24769952711072163 |
|     4.396 |  0.3099136132690278 | 0.30815243852447727 | 0.30861363150296595 | 0.31296961990503264 | 0.30204305448057567 |   0.2909041213627551 |  0.2887547982683907 |   0.2748077114865844 | 0.26560694126205925 |  0.2579054878170281 |    0.255530375933574 |
|     4.553 |  0.3294813039317438 | 0.31020726166337664 |  0.3115403629702677 |  0.2990635636102192 | 0.30489293508293513 |  0.29660608795986415 | 0.28553903358903904 |  0.27633295919711454 |  0.2656648438128006 | 0.26050911045806013 |   0.2539189067918688 |
|      4.71 | 0.31037068986177546 | 0.30901232706645926 | 0.31471650323578376 | 0.31312228052114294 | 0.29595294906290304 |   0.2965615705986178 |  0.2895356566603542 |   0.2857381680773104 |  0.2787566894296913 | 0.26977003640122604 |  0.25192258217040564 |
|     4.867 |  0.3176281264844778 |  0.3229849290152903 |  0.3029743348980249 | 0.31284210307688914 | 0.30503341824393754 |   0.2872762011064363 | 0.29195892560059916 |  0.28514053007215867 |  0.2724690104545685 |  0.2693659220326334 |   0.2593505521383068 |
|     5.024 |   0.317733224398624 | 0.31091501806387106 |  0.3098436451235941 |  0.3048087460113971 | 0.29928737495185886 |  0.30786123794697173 |  0.2977825356258718 |  0.28166168802358094 |  0.2745955003152102 | 0.26653682325044564 |   0.2655777914599561 |
|     5.181 | 0.30999386805217544 | 0.31246190544311325 |  0.3085293209705975 |  0.3056854742779673 |  0.3034354119813951 |   0.3035716073004269 |  0.3029769104552652 |   0.2893654986148645 |  0.2853317696983822 |  0.2785843080436748 |   0.2619218759655772 |
|     5.338 | 0.30142972759637426 |  0.3179870125000028 | 0.31743192101775264 | 0.31083925905099397 |  0.3137566945129899 |  0.29979620095001563 | 0.29413770282291957 |   0.2924251786202138 |  0.2820285314678061 |  0.2753434422709642 |   0.2728726159638107 |
|     5.495 |  0.3093747262016725 |  0.3021714174839169 |  0.3043141247547399 | 0.32428487106476933 |  0.3135134689476588 |   0.2934554724768658 | 0.30293921861488504 |  0.29831849990112336 | 0.28321377868809045 |   0.284211052561304 |  0.26434714389991404 |
|     5.652 |  0.3212652188127109 |  0.3042078729414323 |   0.311574347705953 |  0.3089943360674912 |  0.3068762359238752 |   0.3035846310027593 |  0.2986392819930949 |  0.29554798263263987 |  0.2844219466826599 |   0.283868255528486 |  0.27940079910719684 |
|     5.809 |    0.30855140301863 | 0.31150038200965535 |   0.312759309602835 |  0.3215692588542753 |  0.3110074488419821 |   0.2969899664755161 |   0.301858649128767 |  0.29188135465951265 |  0.2954256586479013 | 0.28563687797472714 |   0.2741707001348616 |
